Table_Reference_Name,Table_History_Name,MySQL_Table,Variable_Name,Variable_Temporal,Variable_Aggregation,Variable_Type_Original,Variable_Type,Variable_dType,Variable_Max_States,Selected
hesIp,hesIp,tcarer_features_hesIp_hesIp,operOPCSL1_30t90d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt, prevalence_11_cnt, prevalence_12_cnt, prevalence_13_cnt, prevalence_14_cnt, prevalence_15_cnt, prevalence_16_cnt, prevalence_17_cnt, prevalence_18_cnt, prevalence_19_cnt, prevalence_20_cnt, prevalence_21_cnt, prevalence_22_cnt, prevalence_23_cnt, prevalence_24_cnt, prevalence_25_cnt, prevalence_26_cnt, prevalence_27_cnt, prevalence_28_cnt, prevalence_29_cnt, prevalence_30_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,operOPCSL1_90t180d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt, prevalence_11_cnt, prevalence_12_cnt, prevalence_13_cnt, prevalence_14_cnt, prevalence_15_cnt, prevalence_16_cnt, prevalence_17_cnt, prevalence_18_cnt, prevalence_19_cnt, prevalence_20_cnt, prevalence_21_cnt, prevalence_22_cnt, prevalence_23_cnt, prevalence_24_cnt, prevalence_25_cnt, prevalence_26_cnt, prevalence_27_cnt, prevalence_28_cnt, prevalence_29_cnt, prevalence_30_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,operOPCSL1_180t365d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt, prevalence_11_cnt, prevalence_12_cnt, prevalence_13_cnt, prevalence_14_cnt, prevalence_15_cnt, prevalence_16_cnt, prevalence_17_cnt, prevalence_18_cnt, prevalence_19_cnt, prevalence_20_cnt, prevalence_21_cnt, prevalence_22_cnt, prevalence_23_cnt, prevalence_24_cnt, prevalence_25_cnt, prevalence_26_cnt, prevalence_27_cnt, prevalence_28_cnt, prevalence_29_cnt, prevalence_30_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,operOPCSL1_365t730d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt, prevalence_11_cnt, prevalence_12_cnt, prevalence_13_cnt, prevalence_14_cnt, prevalence_15_cnt, prevalence_16_cnt, prevalence_17_cnt, prevalence_18_cnt, prevalence_19_cnt, prevalence_20_cnt, prevalence_21_cnt, prevalence_22_cnt, prevalence_23_cnt, prevalence_24_cnt, prevalence_25_cnt, prevalence_26_cnt, prevalence_27_cnt, prevalence_28_cnt, prevalence_29_cnt, prevalence_30_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,diagCCS_0t30d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt, prevalence_11_cnt, prevalence_12_cnt, prevalence_13_cnt, prevalence_14_cnt, prevalence_15_cnt, prevalence_16_cnt, prevalence_17_cnt, prevalence_18_cnt, prevalence_19_cnt, prevalence_20_cnt, prevalence_21_cnt, prevalence_22_cnt, prevalence_23_cnt, prevalence_24_cnt, prevalence_25_cnt, prevalence_26_cnt, prevalence_27_cnt, prevalence_28_cnt, prevalence_29_cnt, prevalence_30_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,diagCCS_30t90d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt, prevalence_11_cnt, prevalence_12_cnt, prevalence_13_cnt, prevalence_14_cnt, prevalence_15_cnt, prevalence_16_cnt, prevalence_17_cnt, prevalence_18_cnt, prevalence_19_cnt, prevalence_20_cnt, prevalence_21_cnt, prevalence_22_cnt, prevalence_23_cnt, prevalence_24_cnt, prevalence_25_cnt, prevalence_26_cnt, prevalence_27_cnt, prevalence_28_cnt, prevalence_29_cnt, prevalence_30_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,diagCCS_90t180d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt, prevalence_11_cnt, prevalence_12_cnt, prevalence_13_cnt, prevalence_14_cnt, prevalence_15_cnt, prevalence_16_cnt, prevalence_17_cnt, prevalence_18_cnt, prevalence_19_cnt, prevalence_20_cnt, prevalence_21_cnt, prevalence_22_cnt, prevalence_23_cnt, prevalence_24_cnt, prevalence_25_cnt, prevalence_26_cnt, prevalence_27_cnt, prevalence_28_cnt, prevalence_29_cnt, prevalence_30_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,diagCCS_180t365d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt, prevalence_11_cnt, prevalence_12_cnt, prevalence_13_cnt, prevalence_14_cnt, prevalence_15_cnt, prevalence_16_cnt, prevalence_17_cnt, prevalence_18_cnt, prevalence_19_cnt, prevalence_20_cnt, prevalence_21_cnt, prevalence_22_cnt, prevalence_23_cnt, prevalence_24_cnt, prevalence_25_cnt, prevalence_26_cnt, prevalence_27_cnt, prevalence_28_cnt, prevalence_29_cnt, prevalence_30_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,diagCCS_365t730d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt, prevalence_11_cnt, prevalence_12_cnt, prevalence_13_cnt, prevalence_14_cnt, prevalence_15_cnt, prevalence_16_cnt, prevalence_17_cnt, prevalence_18_cnt, prevalence_19_cnt, prevalence_20_cnt, prevalence_21_cnt, prevalence_22_cnt, prevalence_23_cnt, prevalence_24_cnt, prevalence_25_cnt, prevalence_26_cnt, prevalence_27_cnt, prevalence_28_cnt, prevalence_29_cnt, prevalence_30_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,admimeth_0t30d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,admimeth_30t90d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,admimeth_90t180d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,admimeth_180t365d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,admimeth_365t730d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,mainspef_0t30d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,mainspef_30t90d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,mainspef_90t180d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,mainspef_180t365d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,1
hesIp,hesIp,tcarer_features_hesIp_hesIp,mainspef_365t730d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,0
hesIp,hesIp,tcarer_features_hesIp_hesIp,admisorc_0t30d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,0
hesIp,hesIp,tcarer_features_hesIp_hesIp,admisorc_30t90d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,0
hesIp,hesIp,tcarer_features_hesIp_hesIp,admisorc_90t180d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,0
hesIp,hesIp,tcarer_features_hesIp_hesIp,admisorc_180t365d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,0
hesIp,hesIp,tcarer_features_hesIp_hesIp,admisorc_365t730d,1,"others_cnt, prevalence_1_cnt, prevalence_2_cnt, prevalence_3_cnt, prevalence_4_cnt, prevalence_5_cnt, prevalence_6_cnt, prevalence_7_cnt, prevalence_8_cnt, prevalence_9_cnt, prevalence_10_cnt",INT,"CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS, CONTINUOUS","i4, i4, i4, i4, i4, i4, i4, i4, i4, i4, i4",,0
